S,T,R,ST
Addie Bundren,Darl,understanding and true love,positive
Addie Bundren,Darl,pretending,negative
Addie Bundren,Darl,upset,negative
Dewey Dell,Lafe,picked on down the row with,neutral
Dewey Dell,Jewel,taking,neutral
Dewey Dell,Darl,knew,neutral
Darl,ma,going to die without words,negative
Darl,ma,saw,neutral
Dewey Dell,Darl,going to tell pa are you going to kill him?,neutral
Anse,he,mislikes,negative
Anse,Jefferson,get started,neutral
Anse,roads,good now,neutral
Anse,rain,fixing to,neutral
Anse,folks,buries at,neutral
Anse,woman born a day’s hard ride away,have her die on him,neutral
Tull,he,mislikes,negative
Tull,they’ll get back in plenty of time,I wouldn’t worry none,neutral
Tull,them to rush back,hope it,positive
Anse,she,says,positive
Anse,mammy,lived,positive
mammy,last chap,born,neutral
mammy,nightgown,had,positive
mammy,sick day,never,negative
mammy,lace-trimmed nightgown,put on,neutral
mammy,laid down on the bed,shut,negative
mammy,I'm tired,says,negative
Anse,lemeneth,giveth,positive
Cash,a-hammering and sawing,beyond,neutral
I,lemeneth,giveth,positive
boy,hill,comes,neutral
boy,fish,carrying,neutral
boy,it,slings,negative
it,ground,to,neutral
boy,fish,turns it over,neutral
boy,he says,where'd you get it?,neutral
he says,down to the bridge,,neutral
boy,there's company in there,says,neutral
I,my folks,Just,positive
he says,Vardaman,says nothing,neutral
Vardaman,door,he says,neutral
He,fish,picks up,neutral
It,hands,slides out of,negative
it,dirtying itself again,flops down,negative
it,shamed of being dead,cusses it,negative
Anse,Vardaman,calls,neutral
Anse,Vardaman,,neutral
Vardaman,Anse,pa,neutral
Vardaman,Dewey Dell,Dewey Dell,neutral
Vardaman,fish,clean,negative
Vardaman,pa,Aw,negative
you,fish,clean it,positive
you,fish,clean it,positive
Vardaman,fish,picks it up,neutral
Anse,wrists,dangle,neutral
I,him,never,negative
He,Anse,ain't been,neutral
His eyes,pieces of burnt-out cinder,,neutral
When,shadow,touches,neutral
I,comes,time to get on,neutral
Anse,Cora,reaches for,positive
Cora,Mr. Bundren,don't you get up now,positive
he,shoes,puts on,neutral
I,hall,go up,neutral
they,clumping,were iron shoes,negative
He,door,comes,neutral
he,finds her,,neutral
He,door,looks into,neutral
I,Cash,works,positive
I,him,I done holp,positive
him,I,I aimed,neutral
I,He,tell him,positive
he,I,aimed,positive
Cash,you,don't reckon I'll get to you,negative
Cora,cake-box,set,positive
Cora,rain,says,neutral
Cora,Anse,says,neutral
Anse,Addie,mentions,positive
Anse,road,curses,negative
Anse,Cash,mentions,neutral
Anse,Darl,mentions,neutral
Anse,Peabody,tells,negative
Anse,Vardaman,mentions,neutral
Vardaman,house,watches,neutral
Anse,Addie,husband,positive
Darl,Jewel,sibling,positive
Darl,Dewey Dell,sibling,positive
Anse,Dewey Dell,father,positive
Anse,Cash,father,positive
Vernon Tull,Peabody,acquaintance,positive
Anse,Vardaman,father,positive
Anse,Jewel,father,positive
Anse,path,location,none
Anse,spring,location,none
Anse,town,location,none
Anse,mountain,location,none
Dewey Dell,illness,event,negative
Dewey Dell,town,location,none
Peabody,Medical College,affiliation,none
Anse,cylone,event,negative
Addie,death,event,negative
storm,path,location,none
Dewey Dell,quilt,slides,positive
Dewey Dell,Pa,leaves,positive
Dewey Dell,Peabody,is,positive
Pa,quilt,touches,positive
Pa,Dewey Dell,saw,neutral
Jewel,hat,droops,neutral
Jewel,tow-sack,tied,neutral
Jewel,ankle-deep,pries,neutral
Jewel,piece of rotting log,uses as,neutral
VARDAMAN,fish,was in,neutral
VARDAMAN,dust,was cut up into,negative
VARDAMAN,trees,look like,neutral
VARDAMAN,floor,feel,neutral
VARDAMAN,sticks,grab at,neutral
VARDAMAN,barn,enter,neutral
VARDAMAN,cows,see,neutral
VARDAMAN,bushes,grab at,neutral
VARDAMAN,wall,find,negative
VARDAMAN,stick,jerk,negative
VARDAMAN,cows,run at,negative
cows,VARDAMAN,nudges,neutral
cows,VARDAMAN,turns,positive
VARDAMAN,barn,cry,positive
Cash,spring,looks at,neutral
Cash,broken hitch-rein,looks at,neutral
Cash,dust,looks at,neutral
Vardaman,Dewey Dell,calls,positive
Dewey Dell,Vardaman,cry,positive
dark,him,resolving,negative
Darl,me,came in between,neutral
Darl,Lafe,came in between,positive
mother,died,grieve,negative
her,dish of greens,cook,neutral
Dewey Dell,Lafe,alone,negative
Vardaman,Dewey Dell,find,positive
Pa,Vardaman,asks,neutral
Pa,Vardaman,helps himself,positive
cow,me,nuzzles at,neutral
Vardaman,stall,pass,positive
Vardaman,body,feel,positive
Vardaman,bones,begin,positive
Vardaman,flesh,begin,positive
Vardaman,coming unalone,terrible,negative
Vardaman,Lafe,listen,neutral
Vardaman,darkness,rush,neutral
Vardaman,cow,stop,negative
Vardaman,sweet blast,fill,positive
Vardaman,house,go,neutral
Vardaman,supper,get,positive
Vardaman,team,run,neutral
Vardaman,cow,moaning,neutral
Vardaman,Vernon,get,positive
Vardaman,train,get,positive
Vardaman,town,go,neutral
Vardaman,air,breathe,positive
Vardaman,worry,know,neutral
Vardaman,seed,feel,neutral
Vardaman,saw,whirl,neutral
Vardaman,crib,shut,negative
Vardaman,rat,breathe,neutral
Vardaman,shadows,walk,neutral
Vardaman,flour,cost,neutral
Vardaman,sugar,cost,neutral
Vardaman,coffee,cost,neutral
Vardaman,banana,eat,positive
Vardaman,God,make,neutral
Vardaman,place,make,neutral
Vardaman,mother,lay down,neutral
Vardaman,Vernon,see,neutral
Vardaman,Vernon,be,neutral
Vardaman,Vernon,not be,neutral
rain,midnight,set in,positive
night,fellow,looks for,positive
stock,fed,get,positive
stock,house,get,positive
fellow,supper,can get,positive
Peabody,Addie Bundren,She’s gone at last,positive
Peabody,team,come up,positive
lathered,team,come up,positive
harness,dragging,with the broke,positive
neck-yoke,legs,betwixt the off critter’s,positive
team,hitch up,"You hitch up, now",positive
team,rain,If she is gone,negative
Cora,it,It’s my duty,positive
Peabody,team,send for,positive
fellow,fellow,wants a fellow,positive
fellow,fellow,sends for,positive
Christian duty,Cora,stand between,negative
Cora,Vernon,You can stay there all day,negative
Cora,me,It’s my Christian duty,positive
team,kitchen,you go get,positive
He,I,looked at me,neutral
house,team,come back,positive
Cora,him,take him to the kitchen,positive
rain,lamp,the rain was blowing on to the lamp,negative
fellow,fellow,gets to,positive
Cora,all,She says all he needs is a wife,positive
Lord,man,create women,positive
I,nightcap,laying on the other pillow,negative
morning,him,found him in his shirt-tail,negative
him,sleep,dead for,negative
Cora,his face,looked like one of these here Christmas masts,negative
I,nails,grip,positive
surface,nails,grip,positive
water,seep,move,positive
water,easiest,move,positive
seams,joints,made,neutral
water,seep,move,positive
house,people,upright,neutral
people,seams,made,neutral
bed,people,lie down,neutral
people,seams,made,neutral
body,square,like,neutral
animal magnetism,stress,makes,neutral
dead body,stress,comes slanting,neutral
seams,joints,made,neutral
old grave,earth,sinks down,neutral
natural hole,earth,sinks by,neutral
made,job,neater,positive
Vardaman,mother,is,neutral
returned,team,hitched,neutral
dragged,buckboard,back,neutral
ditch,mile,from,neutral
pulled out,road,at,neutral
Dozen wagons,spring,were,neutral
Quick,he,found,neutral
river,was up,and,neutral
water mark,bridge piling,covered,neutral
stressed,seams,made,neutral
bed,people,lie down,neutral
body,Anse,meets,neutral
boys,has heard,are,neutral
boys,are,on the way back,neutral
Anse,he,says,neutral
Anse,takes,her,neutral
he,go on,better,neutral
bridge,won't stand,of water,negative
mind,set,on,neutral
Anse,get at,soon as,neutral
Anse,meets,us,neutral
Lord,giveth,The,neutral
Lord,giveth,The,neutral
boy,Peabody,come into,neutral
Peabody,come into,hollering,neutral
kitchen,cooking,fish,neutral
Dewey Dell,taken,down to,neutral
team,all right,I give,positive
buggy,seems all right,It,positive
fault,somebody's,of,neutral
I,fix it,If it's broke anywhere,positive
Anse,Cash,is working with,neutral
Anse,Whitfield,is waiting for,neutral
Vernon,Tull,is talking to,neutral
Anse,room,is going into,neutral
Cash,tin can,is trimming out,positive
Cash,plugs,is filling up,positive
trestles,plank-ends,is sitting on,neutral
bridge,river,has gone,negative
Whitfield,ford,is swimming over,positive
Veil,mosquito bar,is made of,neutral
hair,mosquito bar,it covers,neutral
dress,veil,is having,neutral
Littlejohn,says,says,positive
Armstid,says,says,positive
Uncle Billy,says,says,positive
Cash,says,says,positive
Armstid,says,says,positive
I,says,says,positive
Quick,says,says,positive
I,says,says,positive
I,says,says,positive
Whitfield,begins,begins,positive
Whitfield,stops,stops,positive
Cora,singing,singing,positive
I,says,says,positive
third day,wagon,loaded,positive
wagon,Samson's bridge,way round,positive
Samson's bridge,Jefferson,forty miles,positive
team,Anse,take,positive
slough,fish,had,positive
Cora,singing,was,positive
Darl,horse,is,negative
barn,leans,against,positive
buzzards,hang,in,positive
buzzards,clouds,giving,positive
buzzards,illusion,of,positive
Cash,balance,won't,negative
Cash,soul,pick up,negative
Darl,blood,goes,neutral
Darl,flesh,is,neutral
Jewel,face,goes,neutral
Jewel,teeth,hear,neutral
Jewel,face,goes,neutral
Jewel,breath,in,neutral
buzzards,motionless,hang,neutral
Jewel,front end,carries,positive
path,begin,as,neutral
path,slant,begins,neutral
it,atmosphere,evacuating,neutral
Jewel,I,say,positive
Cash,Jewel,left behind,neutral
I,end,carry,neutral
end,weight,has,neutral
I,straw,rush,neutral
straw,tide,coast,neutral
tide,Jewel,of Jewel’s despair,negative
Jewel,look,back at me,neutral
face,suffused,with,negative
face,fury,with,negative
face,despair,with,negative
VARDAMAN,going,to town,neutral
Dewey Dell,says,won’t be sold,neutral
it,belongs to Santa Claus,taken back,neutral
he,taken it,back with him,neutral
it,be,"behind the glass again, shining with waiting",positive
Pa,coming down,but Jewel is going to the barn,neutral
Vernon,seen,it,neutral
Jewel,ma,is a horse,neutral
Jewel,where,going,neutral
Jewel,leave,stop,neutral
horse,leave,here,neutral
all,go,"in the wagon with ma, like she wanted",positive
mother,a fish,is,neutral
Jewel,brother,is,neutral
pa,looks,at him,neutral
it,respectful,ain't,negative
it,deliberate flouting,of her and of me,negative
him,come all the way back,carry them up to Tull’s afoot,neutral
Dewey Dell,has,the package in her hand,neutral
Dewey Dell,getting into the wagon,says,neutral
Dewey Dell,taking,to town for her,neutral
Mrs. Tull,says,won’t sell it to no town boys,neutral
Dewey Dell,Peabody,brooding,neutral
Dewey Dell,Peabody,alert,positive
Darl,wagon,enters,neutral
Dewey Dell,wagon,carries,neutral
Dewey Dell,lot,enters,neutral
Dewey Dell,basket,carries,neutral
Dewey Dell,barn,enters,neutral
Darl,barn,enters,neutral
HE,barn,enters,neutral
wagon,moves,toward,neutral
barn,enters,HE,neutral
pa,says,right,neutral
HE,looks,backward,neutral
Cash,says,staying,neutral
HE,stops,cutting,negative
pa,says,stopping,neutral
wagon,moves,behind,neutral
house,diminishes,above,neutral
Tull,lifts,hand,positive
HE,turns,fast,neutral
Vernon,stands,watching,neutral
Cash,spits,over,negative
I,says,earn,neutral
I,wonder,why,neutral
man,profit,hard-working,neutral
man,equal,reward,positive
man,earn,reward,positive
it,be taken,by,neutral
wait,long,seems like,negative
fellow,earn,reward,positive
fellow,reflect,on,neutral
river,gone,bridge,negative
men,seen,hadn't,neutral
chosen,am,I,positive
above,reward,earn,neutral
man,profit,honest,positive
there,be,will,neutral
man,wait,It's,neutral
Vernon,raised,hand,positive
wagon,came,up,neutral
MacCallum,Rafe,says,positive
MacCallum,Bundren,says,positive
Quick,Snopes,says,positive
Quick,Jewel,says,positive
MacCallum,Snopes,says,positive
Quick,Tull’s bridge,says,positive
Jewel,horse,says,positive
I,Lon,says,positive
I,Quick,says,positive
I,wagon,says,positive
wagon,bridge,went,positive
Quick,they,stopped,positive
they,Bundren,went,positive
they,girl,sitting,positive
they,chap,sitting,positive
they,Cash,sitting,positive
they,one,sitting,positive
Cash,they,talking,positive
I,Rachel,told,positive
I,man,fixed,positive
Rachel,July,having,positive
boys,tools,have,positive
I,girl,watching,positive
I,Bundren,talking,positive
I,Bundren,says,positive
she,Bundren,promised,positive
she,Bundren,thought,positive
she,Bundren,depend,positive
she,curse,be,positive
Bundren,man,to,positive
Bundren,Addie,give,positive
I,them,drive,positive
I,Bundren,told,positive
girl,kitchen,went,positive
Jewel,loft,feed,positive
he,says,say,positive
I,thought,thought,positive
he,eat,eat,positive
I,says,says,positive
he,feed,feed,positive
he,beholden,beholden,positive
I,says,says,positive
you,load,load,positive
he,pay,pay,positive
you,commenced,commenced,positive
you,buy,buy,positive
I,knowed,know,positive
I,squatting,squat,positive
we,make,make,positive
we,beholden,beholden,positive
I,reckon,reckon,positive
she,crying,crying,negative
I,smelling,smelling,positive
I,decide,decide,positive
I,heard,heard,positive
Rachel,jumped,jumped,negative
I,make,make,positive
I,come,come,positive
I,know,know,positive
I,got,got,positive
I,decide,decide,positive
I,smell,smell,positive
I,knew,knew,positive
I,saw,saw,positive
I,decide,decide,positive
I,heard,heard,positive
I,went,went,positive
I,come,come,positive
Rachel,jumped,jumped,negative
I,make,make,positive
I,know,know,positive
I,decide,decide,positive
I,smell,smell,positive
I,Vardaman,sleep,negative
I,nightmare,had,negative
I,bed,couldn't feel,negative
I,wind,blowing,positive
Jewel,Darl,says,neutral
Jewel,Darl,looking at,neutral
Jewel,horse,sits on,neutral
Tull,mule,taken out,neutral
Tull,mule,looped up,neutral
Anse,bridge,looking at,positive
Anse,folks,lying to,negative
Anse,folks,hoping,positive
boy,bridge,watching,neutral
gal,me,looking at,negative
gal,Anse,says,neutral
Anse,Lord,reckon,positive
Jewel,me,looking at,negative
Cash,Jewel,says,neutral
Jewel,Cash,looks back at,neutral
Jewel,horse,moving,positive
Cash,bridge,looking at,neutral
Cash,Wait,says,neutral
Cash,bridge,looks at,neutral
Anse,water,looking at,neutral
Dewey Dell,Vardaman,mentions,neutral
Vernon,Dewey Dell,helps,positive
Jewel,ourn,hitch,neutral
I,mule,going to take,negative
I,Jewel,looks at,neutral
Darl,Jewel,says,neutral
Cash,Darl,says,neutral
Vernon,water,risk,negative
HE,horse,sits,neutral
HE,Vernon,glaring at,negative
HE,sun-up,milking,neutral
ma,Jewel,said,neutral
Jewel,ma,said,neutral
ma,Dewey Dell,got,positive
ma,Vardaman,got,positive
ma,pa,hating,negative
Addie Bundren,deceit,hiding,neutral
poverty,deceit,important,neutral
Mrs. Tull,lantern,find,neutral
Jewel,ma,said,positive
Jewel,ma,bought,negative
Cash,Jewel,earned,positive
Cash,Jewel,cleaned up,positive
ma,Jewel,said,negative
ma,Vardaman,called,neutral
ma,Jewel,cried,negative
Cash,ma,touched,positive
pa,Jewel,said,negative
pa,Jewel,blaming,negative
pa,Jewel,consulted,negative
Vardaman,Jewel,let,neutral
ma,Vardaman,sitting,neutral
ma,Vardaman,cried,negative
ma,Vardaman,hating,negative
TULL,Anse,got,neutral
TULL,Anse,looking back,neutral
I,Anse,asked,neutral
Darl,Cash,speak,positive
Darl,Jewel,sit,positive
Darl,horse,sit,positive
Darl,wagon,sit,positive
Cash,Darl,sit,positive
Cash,Jewel,look,positive
Jewel,horse,sit,positive
Jewel,river,look,positive
Jewel,Cash,say,positive
Cash,Jewel,say,positive
Cash,Darl,say,positive
Jewel,addie,think,positive
Cash,Jewel,watch,positive
Cash,Vernon,flapping,positive
Cash,We,look,neutral
We,Vernon,watching,neutral
Vernon,flapping,up and down,positive
We,Vernon,move on,neutral
We,Vernon,watching,neutral
We,Vernon,drops,neutral
Cash,Addie,It ain’t on a balance,neutral
Cash,Jewel,Then go on back,neutral
Cash,Vernon,he says,neutral
Jewel,horse,He moves,positive
Cash,Jewel,You ride on back,neutral
Jewel,Cash,Jewel take,neutral
I,Jewel,I say,neutral
Jewel,me,watches,neutral
Jewel,me,looks,neutral
I,Cash,Let’s do,neutral
We,Cash,I say,neutral
Cash,I,Cash says,neutral
the river,pa,The river itself,neutral
the river,pa,pa,neutral
the river,Vernon,pa,neutral
pa,Vernon,are the only things in sight not,positive
Vardaman,Vernon,Dewey Dell,neutral
Cash,I,I say,neutral
he,he,Cash turns back into the wagon,neutral
he,Addie,rocking,neutral
Addie,tools,wedging,neutral
he,me,he looks,neutral
he,me,No,neutral
me,the tool-box,From the tool-box he takes,neutral
he,rope,takes,neutral
Jewel,horse,He must force,positive
Jewel,horse,it moves,positive
Jewel,horse,The horse slips,neutral
Jewel,horse,The horse slips,neutral
Jewel,horse,It moves,positive
Cash,he,I felt the current,neutral
the wagon,log,until I saw the log,neutral
Jewel,the rope,reeves,neutral
Jewel,Cash,Ride on,neutral
Jewel,the log,see,neutral
Jewel,the horse,Jewel shouts at,neutral
Cash,Jewel,With his other hand,neutral
Jewel,Cash,Jewel appears to lift,positive
Cash,Darl,Catching,positive
Vardaman,Darl,jumped,positive
Darl,Cash,hollering,neutral
Dewey Dell,Vardaman,hollering at,neutral
I,Darl,hollering,positive
I,Vernon,passed,neutral
mules,rolling down,dived,neutral
water,faster than,can go,neutral
Darl,grabble for,had to,positive
mules,kicked loose,could see,neutral
horse,fighting,than to go,negative
Cash,saving,trying,positive
wagon,turning over,left,negative
Cora,told,jumped out of the wagon,neutral
TULL,told,jumped out of the wagon,neutral
I,yelling at,standing,neutral
I,yelling at,swimming,neutral
I,yelling at,to come on back,neutral
Cora,says,daring the hand of God,neutral
Cora,says,jump on Anse,negative
I,yelling at,behind me,neutral
Jewel,approaches,has,neutral
Pa,watches,does not look,neutral
Pa,says,was there ere a such misfortunate man,neutral
Jewel,turns,goes away,negative
we,return,hauled clear,neutral
we,pass,go on,neutral
Vernon,looks back at,looking back,neutral
Vernon,says,You get back by the tree,neutral
Vardaman,stands,watching,neutral
Vardaman,backs,moving blindly,negative
Vardaman,looks at,looks at,neutral
Vernon,hammer,got,positive
Vernon,chalk-line,got,positive
Vernon,saw,find,positive
Vernon,chalk-line,lost,negative
Vernon,water,looks at,neutral
Jewel,water,enter,neutral
Jewel,Vardaman,talk,positive
I,Jewel,follow,neutral
Vernon,I,watching,neutral
I,water,hold to,neutral
water,cold,is like,neutral
water,force,leans against,negative
Vernon,mule,wish,positive
Jewel,get,go,neutral
I,Jewel,enter,neutral
I,rope,holds to,neutral
mud,quality,has,neutral
Vernon,rule,has,neutral
Vernon,bought,just last month,positive
Vernon,Jewel,disappeared,neutral
look,curling surface,watch,neutral
Vernon,Jewel,talk,neutral
Vernon,water,watching,neutral
Rope,holding,stand,neutral
water,washes on down,get,negative
Dewey Dell,Jewel,make him come back,positive
Jewel,comes up,look at,neutral
Dewey Dell,Jewel,says,neutral
current,sweeping,gaining,positive
Vardaman,fetches,has,neutral
Vernon,Jewel,give,positive
Vernon,Jewel,passing,neutral
I,Dewey Dell,watching,neutral
Jewel,Vernon,looks at,neutral
Vernon,Jewel,watching,neutral
Vernon,Jewel,tie,neutral
Jewel,Vernon,watching,neutral
Jewel,Vernon,stands in,neutral
Lon Quick,could look,tell the time,neutral
Lon Quick,cloudy sky,look at,neutral
Lon Quick,Big Lon,mean,neutral
I,Jewel,say,positive
Jewel,saw,float,positive
Vernon,hammer,float nigher,positive
Jewel,hammer,float nigher,positive
Vernon,Jewel,bet,neutral
Vernon,I,bet,neutral
Jewel,Vernon,bet,neutral
Vernon,I,stand,neutral
Jewel,hands,watching,neutral
Jewel,plane,get,positive
plane,chalk-line,tie to,positive
chalk-line,water,enter,positive
Pa,us,look at,neutral
Vernon,Dewey Dell,say,neutral
Jewel,Dewey Dell,crowd against,neutral
Jewel,plane,hold,positive
Vernon,Jewel,follow,neutral
Vernon,Jewel,watch,neutral
Jewel,Dewey Dell,pass,neutral
Vernon,Jewel,duck beneath,neutral
Jewel,water,come up,positive
Vernon,Jewel,have,positive
pa,us,stand above,neutral
pa,us,looms tall above,neutral
Vernon,Jewel,violate,negative
Jewel,river,in,neutral
Dewey Dell,dress,wipes,positive
IT,balance,on a balance,neutral
CORA,Brother Whitfield,summer at the camp meeting,positive
CORA,God,comfort your hard human lot,positive
CORA,children,in love you conceived and bore them,positive
CORA,God,raised our voices in His undying praise,neutral
CORA,life,acknowledgment and expiation of my sin,neutral
CORA,God,sin and salvation,negative
ADDIE,spring,to be quiet and hate them,negative
ADDIE,father,the reason for living,negative
ADDIE,Anse,I took Anse,neutral
ADDIE,Cash,when I knew that I had Cash,neutral
ADDIE,Darl,I found that I had Darl,neutral
ADDIE,Jefferson,take me back to Jefferson when I died,neutral
ADDIE,Cora Tull,I was not a true mother,negative
She,Children,owe,neutral
She,Anse,gave,neutral
She,Anse,ask for,negative
She,God,duty,positive
Anse,Children,received,neutral
Anse,not-Anse,gave,neutral
Anse,not-Anse,ask for,negative
Anse,She,fulfilled duty,positive
Anse,word,shape and echo,neutral
He,Anse,died,neutral
She,dark land,hearing,neutral
dark land,God's love,talking of,positive
dark land,His beauty,talking of,positive
dark land,His sin,talking of,negative
dark land,voicelessness,hearing,neutral
people,gaps,words,neutral
I,reason,believed,positive
I,duty,fulfilled,neutral
I,sin,think of,neutral
I,clothes,think of,neutral
I,circumspection,think of,neutral
I,sin,remove,neutral
I,lay with Anse,refused,neutral
I,deeds,fumbling at,neutral
I,children,refused,neutral
I,precautions,took,neutral
Cora,me,talked to,neutral
high dead words,significance,lose,negative
Anse,She,prayed for,positive
She,salvation,is,neutral
WHITFIELD,she,told,positive
WHITFIELD,night,wrestled with,negative
Satan,I,wrestled with,negative
Ada,pa,said,positive
we,team,took,positive
we,wagon,rolled,positive
shed,open side,was,positive
Armstid,shed,said,positive
back of the barn,sheets of tin roofing,was,positive
we,sheets of tin roofing,took,positive
Armstid,pa,said,positive
he,horse,was taking,positive
pa,house,said,positive
pa,Armstid,said,positive
Armstid,pa,said,positive
pa,sho,said,positive
Armstid,Lula,have,positive
he,team,got,positive
he,stall,leaves,positive
he,horse,strikes,negative
he,horse,cursing,negative
Armstid,I,said,positive
I,he,give,positive
Anse,Snopes,said,positive
Peabody,horse-physic,had,positive
boy,well,fell,negative
boy,lot,was chasing,negative
breeze,house,setting,positive
Jewel,Bend,rode,positive
Anse,Bend,taken,positive
Jewel,road,watching,neutral
she,I,said,positive
I,Jewel,asked,positive
Jewel,Darl,called,positive
I,Jewel,said,negative
Darl,Jewel,said,negative
I,mules,looked at,neutral
Jewel,porch,got down from,neutral
Anse,Jewel,said,neutral
Anse,Jewel,come back,neutral
I,Anse,said,neutral
Anse,I,looked at,neutral
Anse,I,give,neutral
Anse,Jewel,father-son relationship,positive
Anse,Darl,family relationship,positive
