S,T,R,ST
Dewey Dell,Cora,mentions,negative
Cora,Darl,mentions,negative
Whitfield,voices,compares,neutral
Whitfield,his voice,compares,neutral
Whitfield,voices,describes,positive
Whitfield,his voice,describes,positive
Whitfield,somebody in the house,mentions,neutral
Cora,Anse Bundren,mentions,negative
Dewey Dell,Cora,mentions,negative
Cora,Anse Bundren,mentions,negative
Cora,Anse Bundren,mentions,negative
Cora,Darl,mentions,negative
Jewel,I,say,neutral
I,Jewel,wait,neutral
Jewel,Cash,leave behind,negative
I,end,carry,neutral
end,weight,has,neutral
end,straw,coasts like,neutral
end,tide,upon,neutral
tide,despair,of,negative
she,despair,of,negative
VARDAMAN,town,going to,neutral
Dewey Dell,says,won't be sold,neutral
Santa Claus,it,belongs to,neutral
Santa Claus,Christmas,takes it back with,neutral
it,glass,behind,neutral
it,Christmas,shining with,positive
Jewel,barn,going to,neutral
Jewel,pa,does not stop,neutral
pa,Jewel,says,neutral
mother,Vernon,seen by,neutral
Jewel,horse,rid,neutral
ma,horse,is,neutral
Jewel,mother,is,neutral
mine,horse,will have to be a,neutral
Darl,ma,is,neutral
is,ma,is,neutral
ma,herself,be,neutral
Darl,ma,have,neutral
is,Darl,am not,neutral
are,Darl,is,neutral
Cash,tool-box,carrying,neutral
we,Tull's,stop at,neutral
pa,Cash,looks at,neutral
wet,road,crosses,neutral
I,Cash,tell,neutral
Cash,wagon,creaking,neutral
IT,country,on,neutral
man,country,on,neutral
man,reward,earn,positive
man,profiting,can,neutral
world,profit,can,neutral
man,reward,earn,positive
man,reward,takes,neutral
meth,river,seen by,neutral
nobody,them,taking,neutral
man,reward,be taken,positive
who,man,loveth,positive
SAMSON,sundown,was,neutral
we,porch,were sitting on,neutral
wagon,road,came up,neutral
wagon,the five of them,with,neutral
them,wagon,on,neutral
one,them,raised hand,neutral
they,store,going on,neutral
MacCallum,Rafe,says,neutral
MacCallum,Quick,says,neutral
Quick,wagon,went on,positive
I,I,says,neutral
Quick,I,says,neutral
I,MacCallum,says,neutral
Quick,funeral,been to,neutral
I,Rachel,talked to,neutral
I,Bundren,talked to,neutral
I,Barn,went down to,neutral
Rachel,I,told,neutral
girl,bundle,come back with,neutral
it,I,says,neutral
I,Bundren,says,neutral
Bundren,I,says,neutral
I,them,I says,neutral
girl,eyes,been,neutral
Bundren,it,says,neutral
I,supper,put on,neutral
girl,kitchen,went on to,neutral
she,she,seen,negative
girl,me,seen,negative
I,him,talked to,neutral
Bundren,I,told,neutral
I,girl,told,neutral
girl,me,seen,negative
I,her,says,neutral
Bundren,her,says,neutral
girl,me,seen,negative
Bundren,I,says,neutral
I,them,hitching up,neutral
I,them,went down to,neutral
I,they,come back to,neutral
Rachel,I,jumped on,negative
I,that,saying,neutral
I,them,heard,neutral
I,I,heard,neutral
girl,house,come on to,neutral
I,barn,went to,neutral
buzzard,me,saw,neutral
I,something,saw,neutral
I,it,saying,neutral
I,place,go down to,neutral
I,I,come back to,positive
she,Vardaman,sleep,negative
Vardaman,nightmare,have,negative
nightmare,awake,think,negative
Vardaman,pa,sleep with,neutral
Vardaman,nightmare,sleep with,negative
Vardaman,nightmare,am awake,negative
Vardaman,nightmare,feel,negative
Vardaman,bed,feel,negative
Vardaman,think,bed,negative
Vardaman,name,think,negative
Vardaman,name,think,negative
Vardaman,girl,think,negative
Vardaman,name,think,negative
Vardaman,think,girl,negative
Vardaman,girl,think,negative
Vardaman,girl,think,negative
Vardaman,wake up,want to,negative
Vardaman,opposite to awake,remember,negative
Vardaman,opposite to awake,think,negative
Vardaman,Vardaman,remember,neutral
Vardaman,Vardaman,opposite,neutral
wind,wake up,blow,positive
wind,me,blow,neutral
wind,me,blow,neutral
wind,room,blow,neutral
wind,Vardaman,asleep,neutral
wind,all of them,back under me,neutral
wind,piece of cool silk,like,positive
cool,silk,like,positive
New Hope,Sad,blow cool,neutral
IT,mi,Was,neutral
I,God,believe in,positive
we,New Hope,go to,neutral
we,Mr. Samson,go to,neutral
we,road,pass,negative
Darl,Jewel,look,neutral
he,sky,look at,neutral
buzzard,as still as,be,neutral
we,Tull’s lane,turn into,neutral
we,barn,pass,neutral
wheels,whispering,go on,neutral
wheels,field,go on,neutral
Vernon,field,across,neutral
Vernon,plough,behind,neutral
Vernon,pass,stand,positive
Vernon,we,after,neutral
Jewel,horse,sit on,neutral
he,face,mumble,neutral
we,levee,be setting in,neutral
Anse,wagon,setting on,neutral
he,mouth,set,neutral
he,horse,sit on,neutral
him,yesterday,pass,neutral
log,jam,get shoved over,neutral
log,roll and turn,go on,neutral
Darl,me,look at,neutral
Cash,me,look at,neutral
planks,fit,measure,neutral
planks,night,fit,neutral
planks,night,measure,neutral
planks,him,measure,neutral
planks,you,say,neutral
planks,measure,not ask you,neutral
hand,mule,set,neutral
what,Darl,risk,neutral
it,mess,set foot on,negative
mess,all,go,negative
Darl,me,look at,neutral
Jewel,me,look at,neutral
he,Vernon,glare at,negative
Vernon,lean face,suffuse,negative
summer,he,take,neutral
I,mules,feed,neutral
cows,tie-up,be,neutral
pa,go back,call,neutral
Vardaman,when,come,neutral
Vardaman,milk buckets,carry,negative
he,milk,be,neutral
we,mules,put in,neutral
pa,supper table,go to,neutral
supper,finished,be,positive
we,mules,put in,neutral
ma,get Dewey Dell,do,neutral
she,jobs,find,neutral
she,way,find,positive
ma,Jewel,to do,neutral
Vardaman,ma,fix,positive
she,him,hide,negative
Addie Bundren,us,teach,positive
deceit,world,be,neutral
poverty,world,be,neutral
she,night,be sitting in,positive
she,Jewel,love,neutral
she,deceit,hating,negative
she,Jewel,hating,negative
night,Dewey Dell,come,neutral
they,Jewel,find,neutral
we,each other,look at,neutral
she,Darl,hollering,positive
she,man,heavier than,negative
she,man,faster than,positive
water,man,in,neutral
Vernon,Darl,not help,negative
mules,Darl,pass,neutral
Cora,Darl,told,neutral
Cora,Anse,smart,negative
Cora,Anse,faulted,negative
Cora,Anse,jump on,negative
Cora,Anse,smart,negative
wagon,Cash,tilted,negative
wagon,Jewel,fighting,negative
wagon,mules,mixed up,negative
horse,Cash,kicking loose,negative
vomiting,Dewey Dell,wipes,neutral
Jewel,Vernon,asked,neutral
Jewel,Vernon,Give,neutral
Jewel,Vernon,give,neutral
Vernon,Vardaman,give,neutral
Vernon,Jewel,tell,neutral
Vernon,Jewel,gone down,neutral
Jewel,water,float,neutral
Vernon,saw,float,neutral
Anse,spring,go,neutral
Anse,Vernon,stop,neutral
Jewel,water,enter,neutral
Dewey Dell,me,crowd,neutral
Jewel,plane,hold,positive
Jewel,string,trail,neutral
Jewel,Vernon,argue,neutral
Vernon,I,know,neutral
Vernon,Jewel,go,neutral
Vernon,Jewel,answer,neutral
Jewel,surface,violate,neutral
Vernon,crew,watch,neutral
Jewel,river,duck,neutral
Jewel,Dewey Dell,whimper,neutral
Jewel,saw,have,neutral
Bundren,wagon,pass,neutral
Cash,plane,hold,positive
Dewey Dell,Cash,lift,neutral
Vernon,Dewey Dell,squat,neutral
Vernon,Jewel,follow,neutral
pa,Cash,fault,negative
Jewel,water,enter,neutral
Cora,She,comfort,neutral
Cora,summer,meet,neutral
Cora,Brother Whitfield,wrestle,neutral
She,children,conceive,neutral
She,children,bear,neutral
She,life,acknowledgment,negative
She,life,expiation,positive
She,sin,acknowledge,neutral
She,punishment,begrudge,neutral
She,love,judge,neutral
Whitfield,sin,privation,negative
Whitfield,grace,receive,positive
She,punishment,call,neutral
She,punishment,consider,neutral
She,sin,commit,neutral
She,sin,punishment,neutral
She,Dar1,touched by God,neutral
She,Dar1,consider,neutral
She,punishment,love,neutral
She,punishment,prefer,negative
She,punishment,know,neutral
She,poor blind woman,pray,positive
Anse,nonsense,say,neutral
Anse,Cash,tell,neutral
She,fear,beg,positive
Anse,Jefferson,return,neutral
She,father,remember,negative
She,Anse,take,negative
Anse,Darl,kill,negative
Darl,Anse,trick,negative
She,Darl,find,neutral
She,Anse,trick,negative
She,Anse,know,neutral
She,Anse,use,neutral
she,outrage,said,neutral
Anse,lawed,should be,negative
she,outrage,said,neutral
I,outrage,aim to do,positive
she,outrage,said,neutral
he,Anse,treating,negative
I,he,getting into the ground,positive
I,Jewel,asked,neutral
Jewel,object,wanted to take,neutral
he,Darl,call,neutral
he,Darl,come out,neutral
Jewel,motion,going,neutral
Jewel,wagon,moving,positive
I,Darl,meant,positive
Darl,Jewel,won't suit,negative
Darl,Jewel,won't help,negative
I,Jewel,stood,neutral
he,Jewel,push and haul,neutral
I,he,thought,neutral
I,dinner-bell,called,neutral
gal,boy,went down to get,neutral
I,half through dinner,heard,neutral
Lula,outrage,said,negative
I,fellow,doing,positive
I,trouble,is,negative
quitting,trouble,start,neutral
I,trading with Snopes,couldn't help,negative
trading with Snopes,shade,set in,neutral
I,he,never meant,negative
I,team,buy,neutral
I,mules,looked at,neutral
I,sun,shining,positive
I,wouldn't regret,wasn't so sho I,negative
he,I,come riding up,positive
he,kind of hangdog,looked,neutral
he,kind of proud,looked,neutral
Jewel,I,done got down,neutral
Anse,Jewel,come here,neutral
Anse,Jewel,looked back,neutral
Anse,looked kind of funny,said,neutral
I,Anse,bought,neutral
I,Anse,said,neutral
Jewel,Anse,looked at,neutral
Anse,Jewel,got down,neutral
Jewel,horse,was going toward,neutral
Anse,Jewel,looked at,neutral
Jewel,Anse,said,neutral
Jewel,Anse,came back,neutral
Anse,Jewel,stopped,neutral
Jewel,Anse,said,neutral
Anse,give,said,neutral
Jewel,looked out across the field,spit,neutral
he,toward their feet,sliding his eyes,neutral
he,sliding his eyes,slide,neutral
he,sliding his eyes,slide,neutral
Darl,Anse,stood there,neutral
Jewel,Anse,stood there,neutral
Anse,stood there,stood there,neutral
I,Anse,I said,neutral
Jewel,Anse,said,neutral
Jewel,Anse,mean,neutral
Anse,Jewel,stands there,neutral
Anse,dangle-armed,stands there,neutral
Anse,giving a chattel mortgage on my cultivator and seeder,said,neutral
Anse,looked at me,didn't look at,neutral
Anse,say nothing,didn't say,neutral
I,an hour,kept thinking,neutral
Anse,him,getting shut of,negative
I,they,left,neutral
Anse,just be durn,conjures,negative
I,Anse,seems,neutral
I,Anse,makes a man have to help,positive
I,Anse,have to help,positive
I,Anse,be durn if,negative
VARDAMAN,seven of them,are,neutral
I,Darl,say,neutral
I,Darl,see,neutral
he,them,watch,neutral
there,yesterday,be,neutral
there,four,be,neutral
there,barn,be,neutral
I,medicine,get,neutral
medicine,Mottson,get,neutral
Cash,mother,is,neutral
Jewel,supper time,go,neutral
she,mother,is,neutral
mother,box,be,neutral
we,wagon,be,neutral
Jewel,horse,Is,neutral
we,Darl,see,neutral
she,house,be,neutral
we,water,come,neutral
Dewey Dell,Cash,wipes,positive
we,Darl,look,neutral
Darl,Dewey Dell,look,neutral
cakes,Jefferson,be,neutral
Dewey Dell,Mottson,sell,neutral
we,Mottson,get,neutral
team,Mottson,go,neutral
Snopes,team,feed,neutral
woman,store,look,neutral
woman,toilet things,want,neutral
woman,medicine,want,neutral
I,counter,go,neutral
I,she,see,neutral
woman,gate,put hand on,neutral
I,gate,go,neutral
gate,prescription case,be,neutral
I,trouble,ask,neutral
I,time,have,neutral
she,ma,have,neutral
I,complexion,have,neutral
man,toilet things,stock,neutral
I,female trouble,get,neutral
female trouble,ma,talk to,neutral
woman,me,look,neutral
woman,fountain,look,neutral
woman,store,look,neutral
I,store,go,neutral
I,store,follow,neutral
I,female trouble,ask,neutral
she,I,said,positive
she,I,wanted,neutral
she,Lafe,referred,neutral
Dewey Dell,the father,sold,neutral
Pa,Dewey Dell,told,neutral
Dewey Dell,Lafe,referred,neutral
I,Dewey Dell,referred,neutral
I,Dewey Dell,told,neutral
Dewey Dell,Lafe,referred,neutral
she,Lafe,referred,neutral
he,daughters,been,neutral
Albert,me,told,positive
they,Jewel,broke,neutral
I,Dewey Dell,bought,neutral
I,feel,smell,neutral
I,marshal,met,neutral
cash,me,say,neutral
I,Vardaman,asks,neutral
Dewey Dell,Cash,tears,neutral
Dewey Dell,Cash,wipes,neutral
Dewey Dell,Cash,asks,neutral
Dewey Dell,Cash,replaces,neutral
Dewey Dell,Cash,watches,neutral
Dewey Dell,Cash,pours,positive
Dewey Dell,Cash,wipes,neutral
Dewey Dell,Cash,says,neutral
Dewey Dell,Cash,sweats,negative
Dewey Dell,I,tells,neutral
Jewel,I,asks,neutral
VARDAMAN,DARL,says,neutral
VARDAMAN,DARL,says,neutral
VARDAMAN,DARL,told,negative
DARL,I,says,neutral
DARL,I,took,positive
DARL,I,says,neutral
DARL,VARDAMAN,told,negative
DARL,VARDAMAN,sees,neutral
DARL,VARDAMAN,says,neutral
I,Darl,says,neutral
I,Darl,says,neutral
Dewey Dell,Anse,told,neutral
Dewey Dell,Jewel,sleep,neutral
Dewey Dell,Vardaman,know,neutral
Dewey Dell,Jewel,carry,neutral
Dewey Dell,Vardaman,smell,neutral
Dewey Dell,Jewel,carry,neutral
Dewey Dell,Vardaman,wait,neutral
Dewey Dell,VARDAMAN'S Eye,saw,neutral
Dewey Dell,DARL,know,neutral
Dewey Dell,Mack,hold,neutral
Dewey Dell,Mack,struggle,neutral
Dewey Dell,Mack,scream,negative
Dewey Dell,Jewel,run,neutral
Jewel,PA,strike,negative
Jewel,Gillespie,strike,negative
Jewel,the Horse,drag,neutral
Gillespie,the Horse,beat,neutral
VARDAMAN,CASH,see,neutral
VARDAMAN,Dewey Dell,say,neutral
VARDAMAN,Cash,compare,neutral
VARDAMAN,PA,decide,neutral
VARDAMAN,Gillespie,complain,negative
VARDAMAN,Dewey Dell,say,neutral
VARDAMAN,Jewel,hurt,neutral
VARDAMAN,Dewey Dell,say,neutral
Anse,Darl,bothered,negative
Anse,Mr. Gillespie,borrowed,neutral
Darl,Anse,bothered,negative
Anse,Mr. Gillespie,borrowed,neutral
Skeet,Jody,says,neutral
Skeet,Alford,go upstairs,neutral
Skeet,Madam,ask,neutral
Skeet,Mr. Gillespie,give money,neutral
Darl,VARDAMAN,say,negative
Darl,you,look,neutral
she,doctor,says,neutral
I,she,says,neutral
Jody,Skeet,says,neutral
I,Jody,says,neutral
Darl,Dewey Dell,says,neutral
clock,VARDAMAN,says,neutral
glass,she,smelled,negative
treatment,her,perform,positive
Darl,store,is in,neutral
lights,trees,roost in,neutral
moon,trees,not dark,neutral
Dewey Dell,cellar,goes,neutral
VARDAMAN,town,is in,neutral
street lamps,VARDAMAN,shining on,neutral
corner,I,come back,neutral
talculum powder,capsules,put,neutral
