id,T
womb of time,concept
agony,concept
despair,concept
bones,object
girdle,object
entrails,object
events,event
head,object
eyes,object
travail,concept
event,object
knife,object
nightmare,event
girl,charachter
wind,object
silk,object
legs,object
pines,location
Mr. Samson,charachter
mule,object
plough,object
gal,charachter
levee,location
Darl's eyes,object
logs,object
quicksand,object
log,object
foam,object
cows,object
tie-up,location
summer,event
spell of sleeping,event
milk buckets,object
field,location
breakfast,event
supper-table,location
cow,object
bucket,object
stool,object
Dewey Dell's lunch,event
field work,event
sickness,concept
milking,event
sleepiness,concept
flesh loss,concept
chopping,event
hoeing,event
doctor,character
money,concept
thinness,concept
eating,event
bread,object
lantern,object
deceit,concept
poverty,concept
TULL,character
timber,object
sawmill,location
store,location
gale,event
scene,concept
Rope,object
River,location
Horse,object
Mules,object
Motions,concept
Desolation,concept
Disaster,concept
String,object
Tools,object
Time,concept
Current,concept
Log,object
Foam,object
Hills,location
Bend,location
bank,location
hand of God,concept
hammer,object
chalk-line,object
square,object
plane,object
Lon Quick,character
wager,event
argue,event
shore,location
cash,charachter
patchwork quilt,object
jungle,location
Cash's head,object
tools,object
rule,object
inverted faces,object
saw-set,object
folded coat,object
leg,object
Brother Whitfield,charachter
ADDIE,charachter
Cora Tull,charachter
Children,object
WHITFIELD,character
Satan,character
Mrs. Armstid,character
Ada,charachter
shed,location
sheets of tin roofing,object
Lula,charachter
curry-comb,object
whisky,object
Mottson,location
horse-physic,object
cultivator,object
seeder,object
trials,event
floutings,event
trade,event
shade,location
dinner,event
yard,location
sun,object
shining,event
Eustace Grimm,character
Suratt,character
Flem,character
Texas,location
Law,concept
clothes,object
pallet,object
home,location
Christmas,event
postal card,object
He,charachter
We,charachter
Yesterday,time
four,number
Do,action
Dar,charachter
medicine,object
supper time,time
ropes,object
Darl loosens the rope Cash,action
Albert,charachter
Grummet,charachter
Yoknapatawpha county,location
nipple,object
wedding licence,object
drug-store,location
family,group
church-member,charachter
T,object
The Lord,charachter
devil,charachter
Lafe's folks,group
folks,group
sin,concept
life,concept
reason to be good and die,concept
notion,concept
cement,object
home-made box,object
fellow with a broken leg,charachter
wives,group
hard-nosed men,group
boys,group
marshal,charachter
street,location
public health,concept
newspaper package,object
time,concept
splints,object
cords,object
moon,object
apple tree,location
cat,character
we,character
foot,body part
father,concept
sight of man,concept
Cash's leg,body part
Mr. Gillespie's boy,character
window,object
track,object
fire,event
draught,event
stalls,location
Gillespie,character
Mack,character
interminable train,object
trestle,location
nightshirt,object
thighs,body part
English peas,object
freckles,body part
plate,object
mouth,body part
ears,body part
me,charachter
Cow,charachter
corner,location
sparks,object
milking-stool,object
planking,object
fragments,object
figure,object
moonlight,event
proscenium,location
doorway,location
black,adjective
nigger’s foot,object
flat iron,object
butter,object
soot,object
her,charachter
stars,object
heart,concept
hills,location
car,object
package,object
Sunday dress,object
beads,object
stockings,object
red sand,location
negro cabins,location
telephone lines,object
clock,object
court-house,location
wheels,object
whisper,event
entry,event
cabins,location
faces,charachter
negroes,charachter
arm,object
town fellow,concept
Aimed,event
God Amighty,concept
Concrete,object
spades,object
MACGOWAN,charachter
Alford’s office,location
Memphis,location
Barbers’ Convention,event
Skeet,charachter
trouble,concept
name,concept
handkerchief,object
consulting,event
penitentiary,location
licence,object
graduated glass,object
bottle,object
poison,object
turpentine,object
treatment,event
operation,event
hair of the dog,concept
case of dysentery,condition
stranger,character
night,event
old bastard,character
street lamps,object
back,location
talcum powder,object
cellar,location
curb,location
capsules,object
box of capsules,object
stores,location
lights,object
Jackson,location
soda-water,object
Bananas,object
son of a bitch,character
France,location
CASH,object
barber-shop,location
music,object
shovels,object
Mrs. Bundren,character
graphophones,object
hotel,location
