S,T,R,ST
Jewel,Addie Bundren,is dead,negative
Vardaman,ground,run toward,neutral
I,fish,feel,neutral
I,porch,jump off,negative
I,barn,run into,neutral
I,stick,hit,negative
I,crying,vomit,negative
I,stall,enter,neutral
I,buggy,run in,neutral
I,stick,throw,positive
I,cow,ain’t a-goin’ to milk,negative
I,cow,curse,negative
I,barn,cry,neutral
Cash,hill,comes to,neutral
Cash,hitch-rein,looks at,neutral
Cash,dust,looks at,neutral
Cash,road,looks up,neutral
Darl,Vardaman,calls,positive
Vardaman,Dewey Dell,calls,neutral
Vardaman,tears,feel,positive
dark,wood,hear,neutral
dark,silence,know,neutral
dark,him,resolve,negative
dark,components,resolve,negative
dark,smells,know,neutral
dark,illusion,see,neutral
dark,integrity,resolve,negative
him,dissolve,see,negative
him,float,see,negative
him,coiled,see,positive
him,caressing,see,positive
him,shaping,see,positive
him,afraid,see,negative
Cooked and et,DEWEY DELL,said,neutral
him,do,could,positive
Vardaman,comes,find,neutral
sound,Cash,comes,neutral
kitchen lamp,light,light,neutral
fish,bleeds,quietly,neutral
she,die,know,neutral
she,go,know,neutral
Cash,eats,about,neutral
his shirt,blotched,is,neutral
pa,helps,says,neutral
I,goes,says,neutral
barn,nuzzles,moaning,positive
Darl,Lafe,listen,positive
Darl,Vardaman,call,positive
Dewey Dell,Pa,mention,neutral
Pa,Cash,walk around,neutral
Dewey Dell,Cash,mention,neutral
Vardaman,Cash,ask,neutral
Vardaman,Cash,ask,neutral
Vardaman,Pa,ask,neutral
Vardaman,Pa,ask,neutral
Vardaman,God,question,neutral
Vernon,Vardaman,see,neutral
Tull,Cora,wake,neutral
Tull,Peabody,mention,positive
Cora,Tull,talk,neutral
Cora,Peabody,send,neutral
Cora,Tull,wake,neutral
Tull,door,go_to,neutral
Cora,door,go_to,neutral
Tull,lamp,hold_up,neutral
Cora,Tull,ask,neutral
Tull,Cora,stay,negative
Cora,Tull,wake,neutral
Tull,Cora,wake,neutral
Tull,Cora,sing,neutral
Tull,Cora,feel,neutral
Tull,Anse,talk,neutral
Cora,Anse,mention,negative
Tull,Cora,right,positive
Tull,Cora,help,positive
Cora,Tull,think,negative
Tull,Cora,right,positive
Tull,team,get,neutral
Tull,Cora,lay,neutral
Tull,nail,take,neutral
Cora,him,take,neutral
Cora,him,put,neutral
Cora,him,lay,neutral
Tull,team,drive,neutral
Cora,Tull,lay,neutral
Tull,nail,drive,neutral
William Faulkner,As I Lay Dying,wrote,positive
Delphine Lettau,Distributed Proofreaders Canada team,belongs to,neutral
Cindy Beyer,Distributed Proofreaders Canada team,belongs to,neutral
Hal Smith,Distributed Proofreaders Canada team,belongs to,neutral
Darl,Cotton-house,is located in,neutral
Jewel,July,takes place in,neutral
Jewel,London,takes place in,neutral
Chatto & Windus,London,is located in,neutral
Tull,Cotton-house,is located in,neutral
Cash,Cotton-house,is located in,neutral
Addie Bundren,Cotton-house,is located in,neutral
Cora,Cotton-house,is located in,neutral
Miss Lawington,Cotton-house,is located in,neutral
Kate,Cotton-house,is located in,neutral
Lord,Bazaar Saturday,takes place in,neutral
Alabama,Cotton-house,is located in,neutral
Christian,Alabama,is located in,neutral
Anse,neighbours,is a member of,neutral
New Hope,Jefferson,is located in,neutral
rivers,Cotton-house,is located in,neutral
Lafe,Alabama,is located in,neutral
Dewey Dell,Anse,is a family member of,neutral
Dewey Dell,sack,is holding,neutral
Peabody,Cotton-house,is located in,neutral
Vardaman,Cotton-house,is located in,neutral
church,Cotton-house,is located in,neutral
spring,Cotton-house,is located in,neutral
saw,Dewey Dell,is used by,neutral
fish,Dewey Dell,is handled by,neutral
bucket,Dewey Dell,is used by,neutral
barn,Cotton-house,is located in,neutral
bluff,Cotton-house,is located in,neutral
slope,Cotton-house,is located in,neutral
cow,Cotton-house,is located in,neutral
rat,Cotton-house,is located in,neutral
train,Cotton-house,is located in,neutral
flour,Cotton-house,is located in,neutral
sugar,Cotton-house,is located in,neutral
coffee,Cotton-house,is located in,neutral
bicycles,Cotton-house,is located in,neutral
town,Cotton-house,is located in,neutral
rabbit,Cotton-house,is located in,neutral
possums,Cotton-house,is located in,neutral
kitchen,Cotton-house,is located in,neutral
Vernon,Cotton-house,is located in,neutral
Vernon,Tull,greeting,positive
Vernon,Tull,weather,neutral
Tull,nothing,rain,neutral
Vernon,Cash,location,neutral
Vernon,men,activity,neutral
men,Cash,observing,neutral
Anse,porch,location,neutral
Anse,room,location,neutral
Cash,casket,creation,neutral
casket,Addie Bundren,contain,neutral
casket,wedding dress,contain,neutral
casket,veil,contain,neutral
Whitfield,group,greeting,positive
Whitfield,bridge,obstacle,neutral
Whitfield,house,blessing,positive
bridge,uncertainty,age,neutral
Anse,Jefferson,destination,neutral
Littlejohn,As I Lay Dying,says,neutral
Armstid,As I Lay Dying,says,neutral
Uncle Billy,As I Lay Dying,says,neutral
Cash,As I Lay Dying,says,neutral
Armstid,Cash,says,positive
Littlejohn,Cash,says,neutral
Cash,Quick,says,neutral
Dewey Dell,Cash,says,neutral
Addie Bundren,Cash,says,neutral
God,Cash,says,neutral
Darl,Cash,says,neutral
Cora,Cash,says,neutral
Miss Lawington,Cash,says,neutral
Kate,Cash,says,neutral
Lord,Cash,says,neutral
Bazaar Saturday,Cash,says,neutral
Alabama,Cash,says,neutral
Christian,Cash,says,neutral
Anse,Cash,says,neutral
neighbours,Cash,says,neutral
New Hope,Cash,says,neutral
rivers,Cash,says,neutral
Lafe,Cash,says,neutral
Dewey Dell,Cash,says,neutral
Pa,Cash,says,neutral
sack,Cash,says,neutral
land,Cash,says,neutral
secret shade,Cash,says,neutral
woods,Cash,says,neutral
Peabody,Cash,says,neutral
Vardaman,Cash,says,neutral
church,Cash,says,neutral
spring,Cash,says,neutral
saw,Cash,says,neutral
fish,Cash,says,neutral
buttermilk,Cash,says,neutral
bucket,Cash,says,neutral
barn,Cash,says,neutral
bluff,Cash,says,neutral
slope,Cash,says,neutral
air,Cash,says,neutral
cow,Cash,says,neutral
silhouette,Cash,says,neutral
rat,Cash,says,neutral
train,Cash,says,neutral
flour,Cash,says,neutral
sugar,Cash,says,neutral
coffee,Cash,says,neutral
bicycles,Cash,says,neutral
town,Cash,says,neutral
rabbit,Cash,says,neutral
possums,Cash,says,neutral
kitchen,Cash,says,neutral
Vernon,Cash,says,neutral
whitfield,Cash,says,neutral
bridge,Cash,says,neutral
Jewel,Cash,left behind,negative
I,end,carry,neutral
Jewel,end,rush,neutral
Jewel,despair,upon,negative
Jewel,fury,suffused with,negative
Jewel,despair,suffused with,negative
VARDAMAN,town,going to,neutral
Dewey Dell,package,has,neutral
Dewey Dell,basket,has,neutral
Dewey Dell,town,going to,neutral
Dewey Dell,cakes,taking,neutral
Jewel,barn,going to,neutral
Jewel,horse,leave,negative
Jewel,pa,looks at,neutral
pa,Jewel,says,neutral
mother,fish,is,neutral
Vernon,seen,It,neutral
Jewel,mother,is,neutral
Jewel,eyes,look like,neutral
Jewel,horse,leave,negative
Jewel,eyes,look at,neutral
pa,Jewel,looks at,neutral
mine,horse,be,neutral
Darl,ma,have to be,neutral
mine,fish,be,neutral
mine,horse,be,neutral
pa,ma,have to be,neutral
Jewel,pa,look at,neutral
pa,her,flouting of,negative
iver,sack,carrying,neutral
Cash,tool-box,carrying,neutral
pa,Cash,looks at,neutral
Cash,Tull,stop at,neutral
Cash,roof,get on,neutral
pa,Tull's,stop at,neutral
Darl,at Tull's,come,neutral
Dewey Dell,package,has,neutral
Dewey Dell,basket,has,neutral
Dewey Dell,wagon,getting into,neutral
Dewey Dell,cakes,taking,neutral
Dewey Dell,town,going to,neutral
pa,Dewey Dell,look at,neutral
pa,it,be,neutral
it,Christmas,come,neutral
it,glass,be behind,neutral
it,he,sell,neutral
she,it,will,neutral
Darl,Delphine Lettau,knows,positive
Darl,Cindy Beyer,knows,positive
Delphine Lettau,Distributed Proofreaders Canada team,part of,neutral
Cindy Beyer,Distributed Proofreaders Canada team,part of,neutral
Darl,Jewel,related to,neutral
Darl,Cotton-house,located in,neutral
Darl,Tull,related to,neutral
Darl,Cash,interacts with,neutral
Darl,Addie Bundren,related to,neutral
Darl,Peabody,interacts with,neutral
Darl,Vardaman,related to,neutral
Darl,church,located in,neutral
Darl,barn,located in,neutral
Darl,bluff,located in,neutral
Darl,Uncle Billy,interacts with,neutral
Darl,Quick,interacts with,neutral
Darl,Doc,interacts with,neutral
Jewel,Darl,related to,neutral
Addie Bundren,Darl,related to,neutral
Peabody,Darl,interacts with,neutral
Vardaman,Darl,related to,neutral
church,Darl,located in,neutral
barn,Darl,located in,neutral
bluff,Darl,located in,neutral
Uncle Billy,Darl,interacts with,neutral
Quick,Darl,interacts with,neutral
Doc,Darl,interacts with,neutral
Rafe,Snopes,twin,positive
Jewel,Snopes,riding,positive
Tull's bridge,gone,bridge breakdown,negative
Bundren,buried,funeral,negative
Bundren,Jefferson,heading to,positive
Bundren,River rise,pride,positive
Bundren,higher water level,acceptance,positive
Rachel,Bundren,medicine request,neutral
Bundren,promise to Addie,burial request,neutral
I,boy,say,neutral
I,feed,ask,neutral
I,boy,say,neutral
I,loft,eat,neutral
boy,I,say,neutral
I,barn,help,positive
I,boy,say,neutral
I,feed,buy,neutral
Bundren,her,begrudge,neutral
boys,I,thank,positive
I,boys,thank,positive
girls,her,fix,neutral
I,her,say,neutral
I,her,say,neutral
I,her,say,neutral
I,her,say,neutral
Rachel,supper,put on,neutral
she,her,been dead,neutral
I,respect,got,neutral
I,man,respect,neutral
I,woman,respect,neutral
they,it,do,neutral
her,bury,get,positive
they,stall,put in,neutral
I,her,say,neutral
I,her,touch,negative
Bundren,I,squat,neutral
chap,he,let,neutral
I,her,come,neutral
you,girl,come,neutral
they,boys,thank,neutral
they,I,thank,positive
boys,I,say,neutral
Bundren,I,beholden,positive
I,them,leave,neutral
I,them,left,neutral
Rachel,I,comes in,negative
I,I,remember,neutral
I,I,remember,neutral
I,I,decide,neutral
it,I,smell,neutral
I,I,decide,neutral
I,I,smelling,neutral
it,I,smell,neutral
I,I,decide,neutral
I,I,decide,neutral
I,I,decide,neutral
I,I,decide,neutral
I,I,decide,neutral
so,dry,begin,neutral
I,hallway,see,neutral
I,something,saw,neutral
I,buzzard,was,neutral
outdoors,it,begin,neutral
MacCallum,he,get,neutral
MacCallum,he,get,neutral
this bridge,gone,has,neutral
MacCallum,he,get,neutral
I,him,kill,negative
signboard,sight,comes in,neutral
it,mile,say,neutral
it,mile,say,neutral
it,road,begin,neutral
road,it,curving,neutral
I,mother,heard,neutral
I,I,wish,neutral
it,it,say,neutral
that’s,I,mean,neutral
Cash’s head,race,follow,neutral
his,I,see,neutral
I,him,kill,neutral
Jewel,horse,moves,positive
Cash,bridge,looks at,neutral
Anse,water,looks at,neutral
Cash,Dewey Dell,mentions,neutral
Cash,Vardaman,mentions,neutral
Cash,pa,mentions,neutral
Jewel,Vernon,mentions,neutral
Jewel,mule,hitch,positive
Jewel,ma mule,take,negative
Darl,Jewel,asks,neutral
Darl,risk,questions,negative
Cash,Darl,asks,neutral
Cash,Jewel,asks,neutral
Darl,Cash,mentions,neutral
pa,Jewel,calls,neutral
Dewey Dell,Jewel,sent,neutral
pa,Dewey Dell,sent,neutral
pa,Jewel,wakes,neutral
Dewey Dell,pa,sent,neutral
Dewey Dell,pa,waked,neutral
Jewel,chopping,sleeping,negative
Jewel,hoe,stop,negative
Jewel,lean,glaring,neutral
Jewel,spell of sleeping,took,neutral
Jewel,leaning,stand,neutral
Jewel,chewing,in place,neutral
Jewel,eating,stop,neutral
Jewel,ma,hate,negative
Jewel,deceit,acting,negative
Jewel,thinness,except,neutral
Jewel,eating,except,neutral
ma,Dewey Dell,got to do,positive
ma,Jewel,found,neutral
ma,Addie Bundren,teach,positive
ma,deceit,acting,negative
ma,love,hate,negative
ma,hate,acting,negative
ma,Jewel,hating,negative
ma,Addie Bundren,hating,negative
ma,Addie Bundren,hiding,negative
ma,Jewel,loving,positive
I,lantren,couldn’t find,negative
I,hitched,went on,neutral
I,Mrs. Tull,come back,positive
I,lantern,hanging,neutral
Mrs. Tull,lantern,found,positive
Dewey Dell,Jewel,milking,neutral
Jewel,barn,came into,neutral
Jewel,lantern,brought,neutral
Cash,Jewel,looked at,neutral
Cash,I,said,neutral
I,Cash,said,neutral
I,Dewey Dell,told,positive
Dewey Dell,ma,not,neutral
I,Cash,told,positive
I,Cash,said,neutral
Cash,I,said,neutral
Cash,I,said,neutral
I,Cash,said,neutral
I,Cash,asked,neutral
I,Cash,asked,neutral
I,Cash,said,neutral
I,Cash,asked,neutral
Cash,I,said,neutral
I,Cash,asked,neutral
I,Cash,said,neutral
I,Cash,asked,neutral
Jewel,Cash,said,positive
ma,Jewel,said,neutral
Cash,Jewel,said,positive
ma,Jewel,said,neutral
ma,Jewel,said,neutral
Cash,Jewel,looked at,positive
ma,Jewel,said,neutral
Jewel,Vardaman,said,neutral
Jewel,pa,sounded,negative
Vardaman,Jewel,said,positive
ma,Vardaman,found,neutral
Anse,Jewel,says,negative
Jewel,pa,looked at,neutral
Jewel,pa,said,negative
Vardaman,Jewel,said,positive
ma,sleeping,found,neutral
Anse,got out of,got,neutral
Anse,wagon,got out of,neutral
Anse,kept on,looking,neutral
Anse,looking back,kept on,negative
Anse,looking back,thought,neutral
Anse,looking back,thought,neutral
Anse,looking back,thought,neutral
TULL,Anse,got,neutral
Anse,looking back,ain't no luck in,neutral
gal and the boy,got,out of,neutral
ford,find,can’t,neutral
water,risk,risk,neutral
Darl,As I Lay Dying,related to,neutral
Darl,Jewel,sit together,neutral
Darl,Jewel,sit in wagon,neutral
Darl,Cash,sit together,neutral
Darl,Cash,look at each other,neutral
Darl,Cash,speak quietly,neutral
Darl,Jewel,look at each other,neutral
Darl,Jewel,look at scenery,neutral
Darl,Jewel,talk quietly,neutral
Darl,Jewel,reminisce,neutral
Darl,Jewel,discuss plan,neutral
Darl,horse,sit on,neutral
Darl,river,observe,neutral
Darl,river,mention,neutral
Darl,current,observe,neutral
Darl,current,hear,neutral
Darl,surface,observe,neutral
Darl,surface,mention,neutral
Darl,trees,observe,neutral
Darl,trees,mention,neutral
Darl,vines,observe,neutral
Darl,vines,mention,neutral
Darl,cane and saplings,observe,neutral
Darl,cane and saplings,mention,neutral
Darl,road,mention,neutral
Darl,mules' knees,mention,neutral
Darl,ford,mention,neutral
Darl,timber,mention,neutral
Darl,store,mention,neutral
Darl,bridge,mention,neutral
Darl,log,observe,neutral
Darl,log,mention,neutral
Darl,pillow,mention,neutral
Darl,reins,mention,neutral
Cash,Vernon,looks at,neutral
Jewel,horse,moves,neutral
Jewel,horse,speaking to,neutral
Cash,looks,looks at,neutral
looks,Addie Bundren,looks at,neutral
says,Cash,says,neutral
Jewel,Cash,says,negative
Cash,looks,looks at,neutral
Jewel,Cash,looks at,neutral
me,Jewel,says,neutral
me,Quadruple,says,neutral
Cash,Jewel,looks at,neutral
Cash,Jewel,reaches down,neutral
let,Jewel,says,neutral
Jewel,reins,takes,neutral
Cash,Vardaman,seeing,neutral
I,Jewel,can see,neutral
Jewel,reins,sawing,neutral
I,Cash,realise,neutral
Delphine Lettau,Vernon,mentioned,neutral
Delphine Lettau,Cindy Beyer,mentioned,neutral
Cindy Beyer,Delphine Lettau,mentioned,neutral
Cindy Beyer,Distributed Proofreaders Canada team,member of,neutral
Darl,Addie Bundren,mention,neutral
Darl,Jewel,mention,neutral
Darl,Cotton-house,location of,neutral
Darl,July,mention,neutral
Darl,London,location of,neutral
Darl,Chatto & Windus,mentions,neutral
Jewel,Darl,mention,neutral
Tull,Darl,mention,neutral
Tull,Cora,mention,neutral
Cora,Darl,mention,negative
Cora,Anse,mention,negative
Anse,Cora,mention,neutral
Anse,Cora,mention,negative
Vernon,Darl,mentioned,neutral
Vernon,Jewel,mentioned,neutral
Vernon,Cash,mentioned,neutral
Vernon,Vardaman,mentioned,neutral
Vernon,Dewey Dell,mentioned,neutral
Lafe,Vardaman,mentioned,neutral
Dewey Dell,Cash,mentioned,neutral
Dewey Dell,Vernon,mentioned,neutral
Pa,Jewel,mentioned,neutral
Pa,Vernon,mentioned,neutral
Pa,Vardaman,mentioned,neutral
Pa,Cash,mentioned,neutral
Pa,Dewey Dell,mentioned,neutral
Pa,Jewel,mentioned,neutral
Pa,Vernon,mentioned,neutral
Pa,Vardaman,mentioned,neutral
Pa,Cash,mentioned,neutral
Pa,Dewey Dell,mentioned,neutral
Snopes,Rachel,relation,neutral
Snopes,Bundren,relation,neutral
Whitfield,Cora,mentioned,negative
Whitfield,Cora,mentioned,neutral
Littlejohn,Vardaman,mentioned,neutral
Armstid,Vernon,mentioned,neutral
Quick,Jewel,mentioned,neutral
Samson,Vernon,mentioned,neutral
MacCallum,Dewey Dell,mentioned,neutral
Rafe,Vardaman,mentioned,neutral
Vardaman,Dewey Dell,mentioned,neutral
Vernon,Vardaman,mentioned,neutral
Darl,Addie Bundren,mention,neutral
Darl,Cash,mention,neutral
Darl,Vernon,mention,neutral
Darl,Jewel,mention,neutral
Darl,Cotton-house,location of,neutral
Darl,July,mention,neutral
Darl,London,location of,neutral
Darl,Chatto & Windus,mentions,neutral
Jewel,Darl,mention,neutral
Vernon,Darl,mentioned,neutral
Vernon,Cash,mentioned,neutral
Vernon,Vardaman,mentioned,neutral
Vernon,Dewey Dell,mentioned,neutral
Lafe,Vardaman,mentioned,neutral
Dewey Dell,Cash,mentioned,neutral
Dewey Dell,Vernon,mentioned,neutral
Pa,Jewel,mentioned,neutral
Pa,Cash,mentioned,neutral
Pa,Dewey Dell,mentioned,neutral
Snopes,Rachel,relation,neutral
Snopes,Bundren,relation,neutral
Whitfield,Cora,mentioned,neutral
Whitfield,Cora,mentioned,negative
Littlejohn,Vardaman,mentioned,neutral
Armstid,Vernon,mentioned,neutral
Quick,Jewel,mentioned,neutral
Samson,Vernon,mentioned,neutral
MacCallum,Dewey Dell,mentioned,neutral
Rafe,Vardaman,mentioned,neutral
Vardaman,Dewey Dell,mentioned,neutral
Vernon,Vardaman,mentioned,neutral
Pa,Vernon,mentioned,neutral
Pa,Vernon,mentioned,neutral
Pa,Vernon,mentioned,neutral
Pa,Pa,mentioned,neutral
Jewel,water,float,neutral
saw,float,float,neutral
water,saw,float,neutral
saw,hammer,float,neutral
water,plane,float,neutral
Pa,bank,stop,neutral
Jewel,Dewey Dell,crowd,negative
Jewel,water,enter,neutral
plane,tie,tie,neutral
Jewel,water,enter,neutral
Pa,us,look,neutral
Jewel,Dewey Dell,say,neutral
plane,hold,hold,neutral
Jewel,Vernon,argue,neutral
Vernon,Darl,know,neutral
vernon,Jewel,follow,neutral
Pa,stand,stop,neutral
Pa,look,stop,neutral
Jewel,turn,turn,neutral
Jewel,Vernon,follow,neutral
Pa,say,begrudge,neutral
tools,hold,hold,neutral
Dewey Dell,Cash,call,neutral
Dewey Dell,Cash,wipe,neutral
Pa,vomit,avoid,negative
Jewel,Vernon,argue,neutral
Jewel,tool,hold,neutral
stagnation,mechanism,quiet,neutral
mechanism,clotting,dissolve,neutral
clotting,motion,dissolve,neutral
Cora,Lord,know,neutral
Miss Lawington,Cora,be,neutral
Kate,Lord,be,neutral
Bazaar Saturday,town,be,neutral
Alabama,town,be,neutral
town,river,be,neutral
town,log,be,neutral
river,ford,be,neutral
ford,Vernon,read,neutral
Cane and saplings,trees,be,neutral
trees,vines,be,neutral
town,store,be,neutral
river,vines,be,neutral
Miss Lawington,Darl,talked,neutral
Miss Lawington,Cora,talked,neutral
Cora,God,acknowledged,negative
Cora,God,praised,negative
Cora,Brother Whitfield,prayed for,positive
Cora,Jewel,was partial to,negative
Cora,Darl,loved by,positive
Cora,Darl,considered queer by,neutral
Cora,Anse,judged by,negative
Cora,Anse,considers faithful,positive
Cora,Jewel,sin/ punishment,negative
Cora,Jewel,salvation,positive
Cora,Jewel,lack of patience,negative
Cora,God,acknowledged,negative
Addie Bundren,father,hated,negative
Addie Bundren,father,remembered words of,neutral
Addie Bundren,Anse,chose,negative
Addie Bundren,Anse,saw passing,neutral
Addie Bundren,Anse,felt betrayed by,negative
Addie Bundren,Anse,tricked by,negative
Addie Bundren,Anse,revenge towards,negative
Addie Bundren,Anse,knew he didn't understand,neutral
Addie Bundren,Anse,realized,neutral
Addie Bundren,Anse,lied to,negative
Addie Bundren,Anse,prayed for,positive
Addie Bundren,Cash,regarded as terrible,negative
Addie Bundren,Cash,answered to living,neutral
Addie Bundren,Cash,realized he didn't need to say it,neutral
Addie Bundren,Cash,learnt about motherhood from,neutral
Addie Bundren,Cash,saw it as violation and answer,negative
Addie Bundren,Darl,realized,neutral
Addie Bundren,Darl,thought he would trick her,negative
Addie Bundren,Darl,found she had,negative
Addie Bundren,Darl,knew he tricked by words,negative
Addie Bundren,Darl,saw through his trick,neutral
Addie Bundren,Darl,saw through Anse's trick,neutral
Addie Bundren,Darl,knew Anse didn't realize he'd dead,negative
Addie Bundren,Cora,disagreed with,negative
Addie Bundren,Anse,gave,positive
Addie Bundren,Dewey Dell,gave,positive
Dewey Dell,Jewel,gave,positive
Darl,Cash,lay by,positive
Darl,Vernon,talking to,positive
Whitfield,God,prayed for,positive
Whitfield,Anse,confessed to,positive
Whitfield,Satan,wrestled with,negative
Cora,Addie Bundren,talked to,positive
Vardaman,Delphine Lettau,replaced by,positive
Anse,children,had,positive
Anse,Dewey Dell,had,positive
Anse,Vardaman,had,positive
Cash,Addie Bundren,comfortable,positive
Armstid,Cash,supper,positive
Armstid,Lula,supper,positive
Armstid,pa,drink,positive
Armstid,pa,supper,positive
Armstid,pa,cheered up,positive
Armstid,Anse,supper,positive
she,outrage,said,neutral
that,I,aim,positive
she,outrage,said,neutral
He,her,treated,negative
I,Jewel,found,positive
Jewel,mules,take,neutral
I,him,asked,neutral
Darl,he,call,neutral
Jewel,wagon,move,neutral
I,nothing,meant,neutral
