S,T,R,ST
MOSELEY,woman,wait for a sign,neutral
MOSELEY,woman,looked at by,neutral
MOSELEY,woman,happens to look at,neutral
MOSELEY,woman,kind of pretty,positive
MOSELEY,woman,wrapped package,neutral
MOSELEY,woman,looking at,neutral
MOSELEY,woman,bumbled at,neutral
MOSELEY,woman,comes in,neutral
I,She,conversation,neutral
She,I,conversation,neutral
She,age,appearance,neutral
She,world,knowledge,neutral
She,regular,query,neutral
She,store,acquisition,neutral
I,store,advice,negative
store,nipple,suggestion,neutral
I,nipple,advice,neutral
She,wedding licence,purchase,neutral
She,money,possession,neutral
I,store,availability,neutral
I,Lafe,mention,neutral
drug-store,Lafe,reference,neutral
drug-store,ten dollars,payment,neutral
drug-store,Lafe,promise,neutral
drug-store,product,purchase,neutral
I,Albert,discussion,neutral
wagon,hardware store,destination,neutral
ladies,hardware store,destination,neutral
I,supper,mention,neutral
supper,smell,description,neutral
I,marshal,conversation,neutral
I,marshal,comment,neutral
I,Jefferson,destination,neutral
I,faith,advice,positive
water,cash's hat,usage,neutral
Dewey Dell,package,transport,neutral
Dewey Dell,trouble,mention,neutral
CASH,sawdust,description,neutral
CASH,legs,condition,neutral
CASH,father,interaction,neutral
CASH,father,disagreement,negative
I,can,request,neutral
sand,can,usage,neutral
sand,cash,suggestion,neutral
Vardaman,sand,acquisition,neutral
Vardaman,road,location,neutral
CASH,interrogatory glance,question,neutral
CASH,interrogatory glance,description,neutral
Vardaman,sand,put,positive
Vardaman,branch,crossed,positive
Vardaman,wagon,goes to,positive
Dewey Dell,Cement,wipes,negative
Dewey Dell,Cement,pours,positive
Dewey Dell,water,pours,positive
Dewey Dell,Cement,pours,positive
Pa,Cash,asks for,positive
Vardaman,Jewel,are,positive
Vardaman,Jewel,are,positive
Vardaman,Jewel,are,positive
Darl,Jewel,calls,negative
Darl,Jewel,asks,negative
Cash,sweat,began,neutral
Cash,water,poured,positive
Vardaman,ear,put,neutral
Darl,moonlight,across,neutral
Dewey Dell,dress,wipes,neutral
Dewey Dell,sleep,get,positive
Darl,cat,leaped,neutral
Darl,cat,runs,neutral
Vardaman,ear,put,neutral
Darl,cat,leaped,neutral
Darl,Jewel,I say,negative
Darl,Jewel,calls,negative
DARL,Cash,says,positive
Dewey Dell,Cash,told,negative
Dewey Dell,I,told,negative
Cash,leg,fixed,positive
Cash,leg,sick,negative
Cash,we,pour,positive
Dewey Dell,I,am,negative
Dewey Dell,going to sleep,on,neutral
Dewey Dell,I,sleep,neutral
Darl,barn,see,neutral
Dewey Dell,Darl,told me,negative
Dewey Dell,seeing,find,neutral
Vardaman,they,saw,neutral
they,Darl,went,neutral
JEWEL,he,lying,negative
vomit,Jewel,got,negative
they,apple tree,carried,neutral
they,barn,carrying,neutral
JEWEL,lying,put,negative
Dewey Dell,Jewel,put,negative
Gillespie,stall,behind,neutral
Jewel,stall,struggling,negative
Jewel,running,begins to,neutral
Jewel,running,turns back,neutral
VARDAMAN,they,said,neutral
Gillespie,Darl,reach,neutral
Jewel,rain,running upon,neutral
Jewel,crashes slowly forward,comes,neutral
Jewel,Mack,leans,neutral
Gillespie,Mack,pass,neutral
he,nightshirt,rips,neutral
Gillespie,Mack,stares,neutral
Jewel,yelling,cries,neutral
Mack,cow,back,neutral
Jewel,watch,pauses,neutral
Jewel,watch,glances,neutral
Jewel,rides,up-ends,neutral
Mack,lean,looks,neutral
Jewel,looks up,paused,neutral
we,stall,enter,neutral
Darl,Mack,lean,neutral
Darl,reaches,reach,neutral
Delphine Lettau,DARL,said,positive
William Faulkner,As I Lay Dying,authored by,neutral
Jewel,Dewey Dell,lie on,neutral
Jewel,Dewey Dell,lie on,neutral
medicine,Jewel's back,put on,positive
Jewel's back,red,looks like,negative
back,Dewey Dell,was made for,neutral
back,black,was,neutral
Dewey Dell,Jewel,said,neutral
Dewey Dell,Jewel,said,neutral
Darl,I,told,neutral
Darl,I,told,neutral
Darl,apple tree,is under,neutral
Darl,cat,keep away,neutral
moonlight,still,was,neutral
moonlight,Darl,dappled on,neutral
Darl,cry,need to,neutral
bar,is,was,neutral
bar,was,used to be,neutral
we,find,went to,neutral
I,a hill,walk,neutral
I,hurt,did,negative
I,hurt,did,negative
foot and leg,Cash,break off,negative
back,touches,where,neutral
Life,blew up,was created on,neutral
hear,begin,begin to look,neutral
we,reach,move,neutral
I,do,say,neutral
I,want,just,positive
I,want,wanted to,positive
come,pa,got down,neutral
we,descend,follow,neutral
wagon,whisper,let,neutral
I,think,PAUSE,neutral
she,does not look,descends,neutral
she,stops,begins,neutral
I,do,check,neutral
she,Carrying,does,neutral
bushe,get to,she gets to,neutral
I,okes,do,neutral
What,you,say,neutral
He don't mean nothing,I,says,neutral
Whitfield,Vardaman,saw,positive
Whitfield,Dewey Dell,told,neutral
Dewey Dell,Vardaman,told,neutral
Gillespie,Dewey Dell,knowed,negative
Gillespie,Darl,knowed,negative
Darl,Gillespie,knowed,negative
Vardaman,Gillespie,see,neutral
Gillespie,Vardaman,see,neutral
Addie Bundren,Gillespie,knowed,neutral
Dewey Dell,JEWEL,tell,neutral
Dewey Dell,Vardaman,tell,neutral
Gillespie,waggon,get,neutral
Gillespie,horse,get,neutral
Peabody,CASH,patch,neutral
Peabody,Anse Bundren,treat,negative
Dewey Dell,Gillespie,told,neutral
Dewey Dell,Darl,told,neutral
JEWEL,Darl,tell,positive
JEWEL,Peabody,send word,neutral
Darl,PEABODY,conversation,neutral
Armstid,Anse Bundren,treatment,negative
Armstid,Anse Bundren,complaint,negative
MACGOWAN,Jody,conversation,neutral
MACGOWAN,country woman,interaction,neutral
MACGOWAN,Jody,warning,negative
MACGOWAN,country woman,conversation,neutral
Skeet,prescription case,filling,neutral
Skeet,doctor,impersonating,negative
Skeet,graduated glass,filling,neutral
Skeet,capsules,preparing,neutral
Skeet,money,accepting,neutral
Vardaman,stores,passing,neutral
moon,court-house,shining on,neutral
Vardaman,Christmas,expecting,neutral
soda-water,men,drinking,neutral
Vardaman,banana,eating,neutral
Vardaman,lock,observing,neutral
Vardaman,cow,seeing,neutral
Cash,leg,fix,neutral
Pa,Peabody,said,neutral
Pa,barber-shop,going to,neutral
pa,suratt,bought,neutral
pa,Peabody,give,neutral
Pa,Pa,told,neutral
pa,Peabody,give,neutral
Pa,Pa,said,neutral
Pa,Vardaman,said,neutral
Jewel,team,got,positive
Jewel,pallet,fixed,neutral
Jewel,pallet,fixed,neutral
Jewel,team,hitched up,neutral
pa,business,said,neutral
pa,hotel,pay,neutral
Pa,Pa,said,neutral
Pa,Peabody,maybe,neutral
Pa,Pa,said,neutral
Jewel,grape,carrying,neutral
Vardaman,mouth,eating,neutral
Dewey Dell,mouth,eating,neutral
Jewel,team,got,positive
pa,him,looking,neutral
scene,us,watching,neutral
them,Pa,coming along,neutral
Jewel,team,got,positive
pa,him,looking,neutral
Jewel,teeth,got,neutral
Jewel,teeth,made,neutral
grip,him,made,neutral
her,grip,carrying,neutral
there,them,set,neutral
Dewey Dell,mouth,eating,neutral
Vardaman,mouth,eating,neutral
grip,graphophones,listening,positive
Darl,listening,enjoy,positive
world,life,is,neutral
pa,meet,says,neutral
